사건번호,사건명,해양사고종류1,해양사고발생(년도),해양사고발생(월),해양사고발생(일),해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상)
IC-2020-0612,부선 삼성9호 기타사건,기타,2020,9,3,7,10,4-8시,가을,북,N36,58,42,동,E126,46,30,국내,개항 및 진입수로,"평택항, 당진항",삼성9호,1,1762,"1,000~5,000톤미만",기타선,0,0,0,0,0
IC-2020-0615,모터보트 버그호 침수사건,침수,2020,9,3,9,33,8-12시,가을,북,N37,1,27,동,E126,34,30,국내,서해영해,서해영해,버그호,1,0.36,1톤미만,수상레저기구,0,0,0,0,0
IC-2020-0616,모터보트 푸퍼호 침수사건,침수,2020,9,3,13,57,12-16시,가을,북,N00,0,0,동,E000,0,0,국내,서해영해,서해영해,푸퍼호,1,4.44,3~5톤미만,수상레저기구,0,0,0,0,0
IC-2020-0617,낚시어선 천성호 좌초사건,좌초,2020,9,5,9,19,8-12시,가을,북,N36,31,27,동,E126,25,24,국내,서해영해,서해영해,천성호,1,8.55,5~10톤미만,어선,0,0,0,0,0
IC-2020-0618,석유제품운반선 제7민성호 해양오염사건,해양오염,2020,7,28,8,15,8-12시,여름,북,N37,27,18,동,E126,35,45,국내,개항 및 진입수로,인천항 및 진입수로,제7민성호,1,149,100~500톤미만,유조선,0,0,0,0,0
IC-2020-0619,어선 양진호 해양오염사건,해양오염,2020,7,29,17,19,16-20시,여름,북,N36,46,40,동,E126,7,54,국내,서해영해,서해영해,양진호,1,29,25~30톤미만,어선,0,0,0,0,0
IC-2020-0620,어선 대경호 선원부상사건,안전사고,2020,7,1,7,0,4-8시,여름,북,N37,14,11,동,E126,20,22,국내,서해영해,서해영해,대경호,1,9.77,5~10톤미만,어선,0,0,0,1,1
IC-2020-0621,모터보트 나호2호 전복사건,전복,2020,7,1,12,11,12-16시,여름,북,N00,0,0,동,E000,0,0,국내,서해영해,서해영해,나호2호,1,5.85,5~10톤미만,수상레저기구,0,0,0,0,0
IC-2020-0622,낚시어선 블루오션2호 추진축계손상사건,추진축계손상,2020,7,7,9,25,8-12시,여름,북,N36,3,4,동,E126,34,8,국내,서해영해,서해영해,블루오션2호,1,9.77,5~10톤미만,어선,0,0,0,0,0
IC-2020-0624,세일링요트 머메이드호 기관손상사건,기관손상,2020,7,11,12,1,12-16시,여름,북,N35,35,0,동,E126,29,0,국내,서해영해,서해영해,머메이드호,1,6.3,5~10톤미만,수상레저기구,0,0,0,0,0
IC-2020-0626,낚시어선 제우스호 기관손상사건,기관손상,2020,7,17,15,53,12-16시,여름,북,N37,15,38,동,E126,16,5,국내,서해영해,서해영해,제우스호,1,9.77,5~10톤미만,어선,0,0,0,0,0
IC-2020-0627,모터보트 소정호 추진축계손상사건,추진축계손상,2020,7,18,7,46,4-8시,여름,북,N37,24,55,동,E126,23,34,국내,서해영해,서해영해,소정호,1,0.1,1톤미만,수상레저기구,0,0,0,0,0
IC-2020-0628,어선 제2옹진호 부유물감김사건,부유물감김,2020,7,23,5,42,4-8시,여름,북,N37,14,15,동,E126,29,30,국내,서해영해,서해영해,제3옹진호,1,6.62,5~10톤미만,어선,0,0,0,0,0
IC-2020-0629,예인선 제1태양호 해양오염사건,해양오염,2020,7,23,10,30,8-12시,여름,북,N37,27,29,동,E126,35,54,국내,개항 및 진입수로,인천항 및 진입수로,제1태양호,1,54,50~100톤미만,예인선,0,0,0,0,0
IC-2020-0630,어선 606풍성호 선원부상사건,안전사고,2020,7,30,2,10,0-4시,여름,북,N31,13,41,동,E126,34,49,국외,남해공해,남해공해,606풍성호,1,29,25~30톤미만,어선,0,0,0,1,1
IC-2020-0631,예인선 동아티3호 해양오염사건,해양오염,2020,6,25,1,14,0-4시,여름,북,N37,27,10,동,E126,36,43,국내,개항 및 진입수로,인천항 및 진입수로,동아티3호,1,72,50~100톤미만,예인선,0,0,0,0,0
IC-2020-0632,"낚시어선 가고파호, 고무보트 선명무 충돌사건",충돌,2020,9,5,12,8,12-16시,가을,북,N36,23,48,동,E126,25,58,국내,서해영해,서해영해,가고파호,1,7.93,5~10톤미만,어선,0,0,0,0,0
IC-2020-0632,"낚시어선 가고파호, 고무보트 선명무 충돌사건",충돌,2020,9,5,12,8,12-16시,가을,북,N36,23,48,동,E126,25,58,국내,서해영해,서해영해,선명무,2,1,1~2톤미만,수상레저기구,0,0,0,0,0
IC-2020-0633,"낚시어선 해성호, 고무보트 정의호 충돌사건",충돌,2020,9,5,16,36,16-20시,가을,북,N36,30,28,동,E126,26,31,국내,서해영해,서해영해,해성호,1,7.93,5~10톤미만,어선,0,0,0,0,0
IC-2020-0633,"낚시어선 해성호, 고무보트 정의호 충돌사건",충돌,2020,9,5,16,36,16-20시,가을,북,N36,30,28,동,E126,26,31,국내,서해영해,서해영해,정의호,2,1,1~2톤미만,수상레저기구,0,0,0,0,0
IC-2020-0634,"어선 대명1호, 모터보트 제이에스호 충돌사건",충돌,2020,9,6,12,36,12-16시,가을,북,N00,0,0,동,E000,0,0,국내,서해영해,서해영해,대명1호,1,4,3~5톤미만,어선,0,0,0,0,0
